,Название,Ссылка на продукт,Цена,Фотография,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,source
261,Роторная тату машинка MAST-NANO 800 mini black,https://tatu-shop.ru/products/mast-nano-800--mini,7740,https://i.siteapi.org/qB66R5dVgP_1lLozphOfIHQheuc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/wj1c1hi8vuo4w0w4sskw0ss0k40ss8,82 г,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,5 - 8 В,MAST-NANO 800 mini,авиационный алюминий,,Япония 8V,DragonHawk,6 месяцев,,tatu-shop
262,Беспроводная тату машинка EZ P3 Pro 6 Strokes Matte Golden,https://tatu-shop.ru/products/ez--p3-pro-matte-golden,12990,https://i.siteapi.org/em9qQrutGAWW6DV6DSrf2Stp-G8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/tny8ihh4y5wccg48kw0c4w8o8wococ,247 г,до 5 часов,2 часа,,,4-12 V,,авиационный алюминий с защитным покрытием,,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,6 месяцев,,tatu-shop
263,Беспроводная роторная тату машинка - BRONC Wireless Pen V6 red,https://tatu-shop.ru/products/bronc-pen-v6-red,12590,https://i.siteapi.org/7gc-g7YoQCQ5RFS_Pjq2IylDcQA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/hsepvnvnteog40k48kg8gssgkw8kso,229 г,от 7 до 9 часов,,"от 0 до 4,5 мм",,5-11 V,BRONC Wireless Pen V6,Алюминий,,Швейцарский двигатель 6W,,,,tatu-shop
264,Беспроводная тату машинка Defenderr INFINITY Gunmetal,https://tatu-shop.ru/products/infinity-gunmetal,22990,https://i.siteapi.org/Goc4WyGzFcazMjroCKHObFTQeF4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2kvbapdwkwcgookg8gs4s88c4csk4w,210 г,,"2,5 часа",,1800 мАч,,,авиационный алюминий с защитным покрытием,,V10 MAX - 6500 об,,1 год,,tatu-shop
265,Роторная тату машинка DragoArt Atomic II Black,https://tatu-shop.ru/products/atomic-ii-black,2760,https://i.siteapi.org/eLY_xJJF_F28X8RApDAyDJ_Pn7E=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/e3hv1kclz74s8kckws84c4oksoc40c,147 гр,,,,,5 - 12 V 10000 об/мин,DragoArt Atomic II,авиационный алюминий,,Тайвань (Premium Motor),DragoArt Tattoo,,,tatu-shop
266,Беспроводная тату машинка DragonHawk X4 Wireless Pen Black,https://tatu-shop.ru/products/x4-black,11980,https://i.siteapi.org/lBSO3EHrKUlwWzp5eoqs0NXxFxs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/7ink46dichc8sos0so84og48sw044w,120 г,до 4 часов,2 часа,"0-4,5 мм",,4-12V,Dragonhawk X4,Авиационный алюминий,,Японский мотор - 12V/10000 об,,6 месяцев,,tatu-shop
267,Роторная тату машинка SOLONG X100 black,https://tatu-shop.ru/products/equaliser-mikron,4990,https://i.siteapi.org/JIOWstB2r8GOrYD6oLv-PSzCbXs=/fit-in/1024x768/center/top/a6596905b2ff451.ru.s.siteapi.org/img/kaep8yqwxz40gc8sgg4s0g4kg4sg4k,167 гр,,,,,8-12 V,SOLONG X100,авиационный алюминий,,Япония 10V-11000 об/мин,,,,tatu-shop
268,Беспроводная тату машинка MAST Riviera Frequency 4mm Stroke Black,https://tatu-shop.ru/products/mast-riviera-black,10400,https://i.siteapi.org/I9vmZ8xojYZFcAeQqCql4AiX200=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qp7apw02oiogc4co048scw080c8s84,177 гр,до 6 часов,2 часа,,1800 mA/ч,,MAST Riviera,Авиационный алюминий,,Brushless speed regulating motor - бесщеточный двигатель,,6 месяцев,,tatu-shop
269,Беспроводная тату машинка EZ P3 Pro Touch 6 Strokes X 2Power Black,https://tatu-shop.ru/products/p3-pro-touch-2power-black,16990,https://i.siteapi.org/xusdXnTJV4AzCbloANk3XJJrpv8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2rtdstbq7qo0okssokgoksk8scoscg,270 гр,8-10 часов,2 часа,"от 0 до 4,5 мм",2000 mA/ч,4-12V,EZ P3 Pro Touch,Авиационный алюминий,,Двигатель без сердечника EZ 12V-10000 об/мин,EZ TATTOO,6 месяцев,,tatu-shop
270,Роторная тату машинка Mast Tour Mini + Power Mast P112 purple,https://tatu-shop.ru/products/mast--tour-mast-p112-purple,9640,https://i.siteapi.org/cOWSaHbtzXC4IqwaBcDOgxeO4qk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/njvzxlfi0ys4o0s0kk488skcckoso0,57 г,6 часов,,,1200 мАч,5 - 8 В,,алюминий,3 Ватт,Япония 8V 9000 об/мин,DragonHawk,6 месяцев,,tatu-shop
271,Беспроводная тату машинка Mast P60 PMU Stroke 2.2mm-3.2mm X 2Power Gold,https://tatu-shop.ru/products/p60-pmu-gold,16490,https://i.siteapi.org/zgmBw3W1TOMZvmSI7DyBqCC0B1Y=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/p4dagxr20w000sogc4s0cgcgc0w0gk,121 г,около 3 часов,,"0-3,5 мм",900 mA/ч,4-10V,Mast P60,Авиационный алюминий,,Mast Special Edition Mcore-P 11000 об/мин,,6 месяцев,,tatu-shop
272,Беспроводная тату машинка DragonHawk Fold 3 Wireless 7 Strokes X 2 Power,https://tatu-shop.ru/products/dragonhawk-fold-3-2power,13990,https://i.siteapi.org/UayASCYJAGtDX9DkqX-GZlumlC4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/g1pqtlz0f400woww0sooko4wwks488,213 г,до 5 часов,"1,5 часа",,,4-12 V,,авиационный алюминий,,Coreless Motor 8V/6500 об/мин,,6 месяцев,,tatu-shop
273,Беспроводная тату машинка Yilong X5 Wireless Pen x 2 Power Gold,https://tatu-shop.ru/products/yilong-x5-gold,5990,https://i.siteapi.org/IxEVZ0uBD62LyNVDE3dCXcuCTh0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/o1jv7roe7ms0gs8gckgwko884c0c04,207г,до 6 часов,,от 0 до 4,,5-12V,Yilong X5,авиационный алюминий,,Customized Premium Coreless Motor (Powerful Motor),Yilong Tattoo,,"5V-5625, 6V-6750, 7V-7875, 8V-9000, 9V-10125, 10V-11250, 11V-12375, 12V-13500 об",tatu-shop
274,Роторная тату машинка Pen - PINK DIAMOND USA Chromium,https://tatu-shop.ru/products/pink-diamond---usa,13990,https://i.siteapi.org/T67M0SZ4wYJ0FuCH2hfV-Z0x5Ao=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/9smjduyf90sooc8gg0kokwwgsow00s,96 г,,,,,3 - 10V,,авиационный алюминий,,Швейцарский мотор 8W,PINK DIAMOND (США),6 месяцев,,tatu-shop
275,Беспроводная машинка Mast P60 PMU And Tattoo Adjustable 2.2mm-3.2mm Stroke Purple,https://tatu-shop.ru/products/mast-p60-pmu-purple,11540,https://i.siteapi.org/g7F_JYI9_6BNH_AaLhcwumJbZgM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/9o53vdxkqygwk0c8kog4gkg0ksgckg,121 г,около 3 часов,,"0-3,5 мм",,4-10V,Mast P60,Авиационный алюминий,,Mast Special Edition Mcore-P 11000 об/мин,,6 месяцев,,tatu-shop
276,Роторная тату машинка SOLONG PROTON X-90 red,https://tatu-shop.ru/products/equaliser-protonmx-red,4990,https://i.siteapi.org/mSe3Yrsy1jeRIVxFt4fQejqEarc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/l2a8ib3m480k8kk0sg08wcgk4ko0gg,133 гр,,,,,,SOLONG PROTON X-90,алюминий,,Япония 5W,,,,tatu-shop
277,Беспроводная тату машинка EZ P2 DotFree Wireless Tattoo Pen Red,https://tatu-shop.ru/products/p2-dotfree-red,11890,https://i.siteapi.org/vR00o5Q13_7gigc1-89fzpt8JuI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/m132jecq6wgs8os0ow480ocw00k8ww,227 г,до 5 часов,2 часа,,,5 — 12 V,EZ P2 DotFree,авиационный алюминий,,,EZ Tattoo,6 месяцев,,tatu-shop
278,Беспроводная тату машинка MAST Mini Pro 3.6mm Stroke Black,https://tatu-shop.ru/products/mast-machine-mini-pro-black,9590,https://i.siteapi.org/5mPNUvCPjNHQEtQHtauJ_1ztW-Q=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/eygotplydzww0cwkks00wggcgkwggg,210 гр,до 8 часов,"1,5 часа",,1600 mA/ч,4-12 V,MAST Mini Pro,Авиационный алюминий,,Coreless motor 12V - 12000 об/мин,,6 месяцев,,tatu-shop
279,Роторная тату машинка - CNC Cannibal Flower red,https://tatu-shop.ru/products/cnc--cannibal-flower-red,9350,https://i.siteapi.org/ybENbY5rhs6xJskSEaiTRcA-SEM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/br0n0j5lencog0c44sgswccccsk0cw,160 г,,,,,6-14 V,,авиационный алюминий,,Германский мотор,CNC,6 месяцев,,tatu-shop
280,Беспроводная тату машинка EZ P3 Pro 6 Strokes Gloss Red,https://tatu-shop.ru/products/ez--p3-pro-gloss-red,12990,https://i.siteapi.org/Ia5bwTMoWuE49y0fkC2oEmu3-SU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/rlcj7a0t940kog8w4cw80ggc400osg,247 г,до 5 часов,2 часа,,,4-12 V,,авиационный алюминий с защитным покрытием,,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,6 месяцев,,tatu-shop
281,"Беспроводная тату машинка Cobra Morandi 4,2 Stroke Pink",https://tatu-shop.ru/products/cobra-machine-morandi-pink,9990,https://i.siteapi.org/QZYg8z8a_76KHnc_-bj8nxtH19Q=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/4sdvbptef4e8wscksg04480cswg840,320 гр,до 7 часов,,,1800 мАч,"4,7-13V",Cobra Morandi,Авиационный алюминий,,,Cobra Tattoo,,,tatu-shop
282,Беспроводная тату машинка Dragonhawk Atom2 Stroke 2.8mm Gold,https://tatu-shop.ru/products/atom2-gold,8960,https://i.siteapi.org/IvarWuFImF_scrQIVFnaadDpazQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/8m1ty76ec58g8cocc8400g0k8s48ok,300 гр,3 часа,,"0-4,0 мм",800 mA/ч,2-12V,Dragonhawk Atom 2,авиационный алюминий,,Coreless Motor 12V/10000 об/мин,,6 месяцев,,tatu-shop
283,Беспроводная тату машинка AVA GT Pen GTR Adjustable Stroke 2.5-5.0mm Gray,https://tatu-shop.ru/products/gtr-gray,21990,https://i.siteapi.org/QzI3smXdb5Pser91KsWbF5AMo20=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ohoh480e4gg8ocg48s8g08844owk84,1435 гр,,2 часа,,,"4,5-12 V",AVA GT Pen GTR,авиационный алюминий,5W,AVA Servo Brushless Motor - 11000 об/мин,AVA TATTOO MACHINE,6 месяцев,,tatu-shop
284,Беспроводная машинка для татуажа EZ LOLA AIR Wireless Battery Silver,https://tatu-shop.ru/products/lola--air--silver,10570,https://i.siteapi.org/Ib0mtzBrXavcgkMTcZe6FXjR3VU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ke2m0a22nvkko08844ws4w8ogw4s0g,"85,4 г",2-3 ч,"1,5 ч","0 - 3,5 мм",,5 - 10V,EZ LOLA AIR,авиационный алюминий,,,EZ Tattoo,6 месяцев,,tatu-shop
285,Беспроводная тату машинка AVA GT EP9 WIRELESS PEN 3.5mm Red,https://tatu-shop.ru/products/ava-gt-ep9-3-5-red,12340,https://i.siteapi.org/1BYO8ji8h04hyZnFi_6K-qQmVww=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/t94fpqwkhqocc8ogk4w0wckc8k480w,,до 6 часов,3-4 часа,,,,AVA GT EP9,авиационный алюминий,5 Вт,AVA OEM Japanese Motor (бесщеточный двигатель постоянного тока),AVA TATTOO MACHINE,6 месяцев,,tatu-shop
286,Беспроводная тату машинка EZ P3 Pro Lumina 6 Strokes X 2 Power Champagne Gold,https://tatu-shop.ru/products/ez-p3-lumina-2-power-gold,16380,https://i.siteapi.org/2f6PGVkibQJz770y86yRR02EVMw=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/fih5djgvgh4o48wowsosccgog884ow,175 г,до 5 часов,2 часа,,1600 mA/ч,4-12 V,EZ P3 Pro Lumina,авиационный алюминий с защитным покрытием,,EZ Customized External Rotor Brushless Motor 12V-10000 об/мин,,6 месяцев,,tatu-shop
287,Беспроводная тату машинка INOX PRIME WIRELESS PEN ROTARY,https://tatu-shop.ru/products/inox-prime-kwadron,39990,https://i.siteapi.org/7nXNhhYqgrWuJ97KH_f9-c-Xhi0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/aj8m900bvc0gk0wkwkso8gksoc0skc,220 г,до 8 часов на одном заряде,3 часа,"3,5мм",,4-12В,INOX PRIME,,,,,1 год,,tatu-shop
288,Машинка для татуажа WTE Universal Princess 2024 Red & WTE Power Rca & эксцентрики 2.6 и 3.0мм,https://tatu-shop.ru/products/princess-v4--wte-power-red,40980,https://i.siteapi.org/yMf-xRrRKz4c0-jIlyeT4wjGOTg=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/6qunm091snk8gw44o4cw8ks0sscsws,52 г,до 5 часов,,,1300 мАч,,WTE POWER RCA,анодированный алюминий,,,WTE Professional,,,tatu-shop
289,Беспроводная тату машинка Dragonhawk X8 Tunable Frequency 4mm Stroke Black,https://tatu-shop.ru/products/dragonhawk-x8-tunable-black,11800,https://i.siteapi.org/xd9FEK1B2PJWu6jlul8V3tAdmK8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/nayevno75q8wows84wggkow4s4g8go,144г,до 3 часов,2 часа,,,,,авиационный алюминий,,Brushless motor - бесщеточный двигатель,,6 месяцев,,tatu-shop
290,Беспроводная тату машинка EZ P5 Touchscreen Bluetooth footswitch Black,https://tatu-shop.ru/products/ez-p5-footswitch-black,15990,https://i.siteapi.org/YwzMtXJl24A1oBoGKlwTObfvLz0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/1cgyxigeg6zowscc0wwsk8ggkco0wc,178 г,до 5 часов,"2,5 часа",,,5 — 12 V,EZ P5 Touchscreen Bluetooth,авиационный алюминий,,,EZ Tattoo,6 месяцев,9000 об/мин ± 10%,tatu-shop
291,Роторная тату машинка - Defenderr Iron S Pink,https://tatu-shop.ru/products/defender-iron-s--pink,9990,https://i.siteapi.org/8hS8PijtqGakR95MWaWYBVo79e8=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2alyrao5wzk0k8o04so4coksgsk8wo,150 г,,,,,,,авиационный алюминий с защитным покрытием,,Faulhaber (Германия) - 8000 об,,1 год,,tatu-shop
292,Беспроводная машинка для татуажа - Defenderr FENIX S PRO Pink,https://tatu-shop.ru/products/fenix-s-pro-defenderr-pink,28950,https://i.siteapi.org/u8oiWcUzRkT5BzElPtCNmCHrs30=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/phbn8xght008ccskc8sgkwcsckoks0,"146,4 г",,"1,5 часа",,2000 мАч,,,авиационный алюминий с защитным покрытием,,2W - 12000 об,,1 год,,tatu-shop
293,Беспроводная тату машинка EZ Filter Freedom Black,https://tatu-shop.ru/products/tattoo-ez-filter-freedom-black,5180,https://i.siteapi.org/uynl67zQ_IfjW2UQ9uHVXy6TiJU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/82hqu4jpu4g0gkcs44kcwo40o84sw8,200 г,5 часов,,"от 0 до 4,5 мм",,6 - 9 V,EZ Filter Freedom,авиационный алюминий,,Coreless Motor,EZ Tattoo,6 месяцев,,tatu-shop
294,Роторная тату машинка EZ P4 - SE Gray,https://tatu-shop.ru/products/ezp4-se-gray,8370,https://i.siteapi.org/B34yGD_wfQyoyKNfQEH2SC60VOk=/fit-in/1024x768/center/top/a6596905b2ff451.ru.s.siteapi.org/img/9mq7nxnjsow08s8k0wsgkkwk4k0c4s,150 г,,,(в зависимости от марки картриджей) до 4,,,P4 SE,авиационный алюминий,,,EZ Tattoo,6 месяцев,7000-9000 об,tatu-shop
295,Беспроводная роторная тату машинка Bronc Seraphic Wireless Pen For PMU & Tattoo Purple,https://tatu-shop.ru/products/seraphic-purple,12990,https://i.siteapi.org/rNnNGy-q71m3Y85repVha2CCFI0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/b4s9e6fqunsw484kk0k4gwcsk4os8c,175 г,до 7 часов,,от 0 до 4 мм,,4V-12V,Bronc Seraphic Wireless Pen For PMU & Tattoo,Авиационной алюминий,,Swiss motor - Швейцарский двигатель 11000 об/мин,,6 месяцев,,tatu-shop
296,Беспроводная тату машинка Defenderr INFINITY 2 Power Gunmetal,https://tatu-shop.ru/products/defenderr-infinity-2-power-gunmetal,27500,https://i.siteapi.org/ZGmgA_vPGOlPZpwH0tD2qUl4xa0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/51g8w44gimwwss8kc480ckoo084sww,210 г,,"2,5 часа",,1800 мАч,,,авиационный алюминий с защитным покрытием,,V10 MAX - 6500 об,,1 год,,tatu-shop
297,Беспроводная роторная тату машинка Hello Soldier V1 Pen Black,https://tatu-shop.ru/products/hello-soldier-v1-pen-black,7990,https://i.siteapi.org/xf-zEF5k2m1Ohg6BsWvRvEVKbwY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/oeqx75zidf4ss800ow08g4ggck40g8,200 г,до 6 часов,,"от 0 до 4,5 мм",,"5-12 V (1 режим 5V, 2 режим 6V, 3 режим 7V, 4 режим 8V, 5 режим 9V, 6 режим 10V, 7 режим 11V, 8 режим 12V)",Hello Soldier V1,Алюминий,,Япония 8V-12000 об/мин,Solong Tattoo,,,tatu-shop
298,"Роторная тату машинка Pen Rocket II version-5, blue",https://tatu-shop.ru/products/pen--rocket-ii-version-5-blue,3590,https://i.siteapi.org/TlDZ00mlm7jAcF1nm0Hr3WItI0k=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/pannahrwljk84wwg4w4s0w8sk40koo,140 г,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,Rocket II version-5,,,МАБУЧИ 8V 9000rpm - 10V 11000rpm,Rocket Tattoo,,,tatu-shop
299,Беспроводная тату машинка Yilong Y15 Battery Tattoo Pen Blue,https://tatu-shop.ru/products/yilong-y-15-blue,6990,https://i.siteapi.org/xiRGm3t6_TK8pRSsW8zgDhQCjwE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/5exjndu3r2g40g0cs0wogkwkssgw0o,142 г,до 8 часов,,0-4 мм,,4-12V,Yilong Y15,Авиационный алюминий,,Brush Coreless Motor 12V/11000 об,,,,tatu-shop
300,Роторная тату машинка Pen Hummingbird Bronc V6 orange,https://tatu-shop.ru/products/pen-hummingbird-bronc-v6orange,9480,https://i.siteapi.org/TrC0Z9pmSm1APTOnwtCMJBLHUPc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ljj1ze6c068k8sc4c8cc84ko88cw0c,150 гр,,,,,6-9 V,Bronc V6,авиационный алюминий,,Япония 5W - 12000 об/мин,,6 месяцев,,tatu-shop
301,Беспроводная машинка для татуажа - Mast P20 Permanent With 2.5MM Stroke X 2 Power Pink,https://tatu-shop.ru/products/mast-p20-permanent-2-power-pink,11870,https://i.siteapi.org/5yXc_GfLhooOMTPi9C52N0Zh9KI=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/l3ivuvvgirk0gg008c08ks4kkkogwg,122 г,4-6 часов,,"0-3,5 мм",,4-10V,Mast P20,Авиационный алюминий,,Mast Special Edition Coreless Motor 10V/10000 об,,6 месяцев,,tatu-shop
302,"Роторная тату машинка Pen Rocket II version-5, pink",https://tatu-shop.ru/products/pen--rocket-ii-version-5-pink,3590,https://i.siteapi.org/chFOADZnOx_qNezj4BbWSqXT438=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/n9pdt7m09e88k84o4wskc4cs4ww0s0,140 г,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,Rocket II version-5,,,МАБУЧИ 8V 9000rpm - 10V 11000rpm,Rocket Tattoo,,,tatu-shop
303,Роторная машинка для татуажа Mast Tour Air PMU 2.3mm Stroke Silver,https://tatu-shop.ru/products/mast-tour-air-black-silver,5990,https://i.siteapi.org/Sjmszg30NaQfYiJe7BTqJI0zlSA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ljvkywg56c0cko4c04g440wwwoww4g,45 грамм,,,,,5-9V,Mast Tour Air PMU,Авиационный алюминий,,Mcore Coreless Motor 12V /10000 об/мин,MAST,6 месяцев,,tatu-shop
304,Роторная тату машинка EQUALISER PROTON RED MX,https://tatu-shop.ru/products/equaliser-proton-red--mx,35150,https://i.siteapi.org/2Xjww53jTkdigDcf6opu8hdPfSc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/iohg05h92ygwgow4o04s80kss4w0ow,130 гр,,,,,,,,,,,,,tatu-shop
305,Беспроводная тату машинка MAST Tour Y22 Wireless Pink,https://tatu-shop.ru/products/tour--y22-pink,10990,https://i.siteapi.org/Y6biwG4RmyJaOhrJJzmkvUXxwTc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/g4qp7ovw4q0okw8okog0oossgw4w0k,138 г,до 4 часов,,0-4 мм,,5-12V,MAST Tour Y22 Wireless,Алюминий,,Япония - 8V/10000 об,,6 месяцев,,tatu-shop
306,Роторная тату машинка - Defenderr Onyx Stealth,https://tatu-shop.ru/products/defender--onyx-stealth,13500,https://i.siteapi.org/Ux8jz60zPvaib9o8YiSgrnKOieU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/898h9zbrvy80woc4kgowwoc08s4cg4,76 г,,,,,,,авиационный алюминий с защитным покрытием,,Faulhaber (Германия) - 10000 об,,1 год,,tatu-shop
307,"Беспроводная тату машинка Yilong F6 Stroke 3,5mm Grey",https://tatu-shop.ru/products/f6-stroke-3-5mm-grey,13940,https://i.siteapi.org/YasYL1iT--z2TMoe19Ebn3KHA_Y=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/fw7brb8u2i8sggo44w4kkoww0ccwks,200 г,до 8 часов,2 часа,,,4-12 V,,Авиационный алюминий с защитным покрытием,,Бесщеточный двигатель 12V-10000 об/мин,,,,tatu-shop
308,"Беспроводная тату машинка Skinner Innovation PRO 2.0 Stroke 3,8mm Black Matte",https://tatu-shop.ru/products/skinner-pro-v2-3-8-black-matte,25000,https://i.siteapi.org/pxQQApgja-Y5PyRIm2vKIa-utGE=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/niwvlzytlq8wsc0c80wskgo8w0sogw,200 гр,до 10 часов,,,2000 мАч,5-13V,Skinner Innovation PRO 2,Авиационный алюминий,,Бесколлекторный двигатель 5,Skinner Tattoo,,,tatu-shop
309,Роторная тату машинка Mast Tour Pro Plus Brushless 4MM Stroke,https://tatu-shop.ru/products/mast-tour-pro-plus-4,9540,https://i.siteapi.org/GdpAXy4RIZdcKtvNrEv__NNwv_o=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/gigdhl16ri0ww000880sook8cco040,118г,,,,,5-12V,,авиационный алюминий,,Brushless motor mcore-r1,DragonHawk,6 месяцев,,tatu-shop
310,Беспроводная тату машинка MAST Tour SIYA Purple Gradient,https://tatu-shop.ru/products/mast--siya-purple-gradient,12990,https://i.siteapi.org/OJLwYnq4Rlv227fSE5BOBL3yyys=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/lttiys1pfxssc48gogcg0o04wc08go,133 г,до 5 часов,,0-4 мм,,5-12V,MAST Tour SIYA,Алюминий,,Япония - 8V/10000 об,,6 месяцев,,tatu-shop
311,Роторная тату машинка Stigma Rotary Tattoo Pen EM125 Black,https://tatu-shop.ru/products/stigma--em125-black,3990,https://i.siteapi.org/_B3VFrIadtrQVgqt0VzwAc59DJs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3t13qhdm5igwo44kkww4g0sgs8g800,124 гр,,,,,6-11 V,Stigma Rotary Tattoo Pen EM125,авиационный алюминий,,Япония,,,,tatu-shop
312,Роторная тату машинка NB Needle Bee RTM-1003 Chromium,https://tatu-shop.ru/products/rtm-1003-chromium,2380,https://i.siteapi.org/WG_fOa_LKKaCDffu2RyVAnTPgD0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sf32wce7qkgwg808c044wsc48ggowo,135 гр,,,,,5-8 V,,авиационный алюминий,,Япония 10000 об/мин,NB Needle Bee Tattoo,,,tatu-shop
313,Роторная тату машинка - CNC Cannibal Flower gold,https://tatu-shop.ru/products/cnc--cannibal-flower-gold,9350,https://i.siteapi.org/pyvbJsm2vKcvybM6ke8dSI7wKiA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jjnwn466fvw4koc8ww88ko080w84g0,160 г,,,,,6-14 V,,авиационный алюминий,,Германский мотор,CNC,6 месяцев,,tatu-shop
314,Беспроводная роторная тату машинка Vlad Blad Ultron 3 MAX Stroke 4.2mm,https://tatu-shop.ru/products/vlad-blad-ultron-3-max,99850,https://i.siteapi.org/e2X-PLuhvqe4SiO63iN9vZiYfZk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ifoz2w0xpk8o8kck44w8wcwsgw4gs4,201 г,до 11 часов,,,,,,,,,Vlad Blad (Россия),1 год,,tatu-shop
315,Роторная тату машинка - Solong Tattoo Pen Evolution EM118,https://tatu-shop.ru/products/em-118,5990,https://i.siteapi.org/Od9M737wR9mF_Oa0x6wbQhS3f4o=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/hm5n1jvmsqo0kwcwg8gg08sc88skcs,197 г,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,5-12 Вольт,Solong Tattoo Pen Evolution EM118,,,10W Япония,Solong Tattoo,,,tatu-shop
316,Роторная тату машинка Mast Tour Mini + Power Mast P112 black,https://tatu-shop.ru/products/mast-tour-mini-power-mast-p112,9640,https://i.siteapi.org/vu-xK2IFKBYJy8EAyqIrNZA5HmY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/o4y25uiaez4cs0scwkgwoco4k0w0ko,57 г,6 часов,,,1200 мАч,5 - 8 В,,алюминий,3 Ватт,Япония 8V 9000 об/мин,DragonHawk,6 месяцев,,tatu-shop
