,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
311,Роторная,Универсальная,авиационный алюминий,Япония,,6-11 V,,,,,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",118 мм,,124 гр,,Solong Tattoo,Роторная тату машинка Stigma Rotary Tattoo Pen EM125 Black,3990,https://tatu-shop.ru/products/stigma--em125-black,https://i.siteapi.org/_B3VFrIadtrQVgqt0VzwAc59DJs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3t13qhdm5igwo44kkww4g0sgs8g800,Stigma Rotary Tattoo Pen EM125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC,,,,,,,,,,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000 об/мин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
312,,,авиационный алюминий,Япония 10000 об/мин,,5-8 V,,,,,,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,135 гр,,,Роторная тату машинка NB Needle Bee RTM-1003 Chromium,2380,https://tatu-shop.ru/products/rtm-1003-chromium,https://i.siteapi.org/WG_fOa_LKKaCDffu2RyVAnTPgD0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/sf32wce7qkgwg808c044wsc48ggowo,,,,,,,,,,,,,,,,,,,,,,,NB Needle Bee Tattoo,,,,,,,,,,,,,,,25 x 120 мм,Серый,,,,,,,,,,,,"3,5 мм",,,,,,,,,RCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
313,Роторная,Универсальная,авиационный алюминий,Германский мотор,,6-14 V,,,,,,,от 0 до 4 мм (регулировка вылета осуществляется выкручиванием держателя),,32 мм,160 г,6 месяцев,,Роторная тату машинка - CNC Cannibal Flower gold,9350,https://tatu-shop.ru/products/cnc--cannibal-flower-gold,https://i.siteapi.org/pyvbJsm2vKcvybM6ke8dSI7wKiA=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/jjnwn466fvw4koc8ww88ko080w84g0,,,,,,,,,,,,,,,,,CNC,,,,,,,,,,,,,,,,,,,,,,Gold,,,,,,,,,RCA,117 мм,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
314,Роторная,Универсальная,,,,,,3400 mAh,,до 11 часов,,,,150 мм,31 мм,201 г,1 год,,Беспроводная роторная тату машинка Vlad Blad Ultron 3 MAX Stroke 4.2mm,99850,https://tatu-shop.ru/products/vlad-blad-ultron-3-max,https://i.siteapi.org/e2X-PLuhvqe4SiO63iN9vZiYfZk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ifoz2w0xpk8o8kck44w8wcwsgw4gs4,,,,,,,,,,,,,,,,,,,,,,,Vlad Blad (Россия),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Авиационный алюминий,Защитное анодированное покрытие в виде тонкой оксидной пленки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
315,роторная Pen,Универсальная,,10W Япония,,5-12 Вольт,,,,,,"3,2 мм",,,,197 г,,,Роторная тату машинка - Solong Tattoo Pen Evolution EM118,5990,https://tatu-shop.ru/products/em-118,https://i.siteapi.org/Od9M737wR9mF_Oa0x6wbQhS3f4o=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/hm5n1jvmsqo0kwcwg8gg08sc88skcs,Solong Tattoo Pen Evolution EM118,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,,,,,,,,,,,,,,,,,Solong Tattoo,,,,,,,,,,,,,,,123мм х 26мм,,,,,,,,,,,,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
316,,,алюминий,Япония 8V 9000 об/мин,,5 - 8 В,,,,6 часов,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,57 г,6 месяцев,,Роторная тату машинка Mast Tour Mini + Power Mast P112 black,9640,https://tatu-shop.ru/products/mast-tour-mini-power-mast-p112,https://i.siteapi.org/vu-xK2IFKBYJy8EAyqIrNZA5HmY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/o4y25uiaez4cs0scwkgwoco4k0w0ko,,,,,,,,,,,6-11V,,1200 мАч,,,27,DragonHawk,,,,,,,,,,,,,,,,,,,,разъем RCA,25 x 85 мм,Чёрный,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Ватт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DC5V/1A,Быстрая зарядка type-c (USB-провод в комплекте),3 часа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
317,,,Алюминий,Япония 10V-8750 об/мин,,,,2000mA/ч,2 часа,до 8 часов,,,,133 мм,,189 г,6 месяцев,DragonHawk,Беспроводная тату машинка - Pen MAST Archer Wireless Battery purple,13750,https://tatu-shop.ru/products/pen-mast-archer-purple,https://i.siteapi.org/Wlo5mMVK7hMqXZtF2lOcdx1fS7Y=/fit-in/1024x768/center/top/a6596905b2ff451.ru.s.siteapi.org/img/8fs8o44b2ssok0sk40w0c0o4ccs8ww,MAST Archer,5-12V,,"0-4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type—C,,,,,,3,,,,,,"7,5-9V",6-8V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
318,Беспроводная роторная,Универсальная,Авиационный алюминий,Швейцарский двигатель 12000 об/мин,,,,1800 mA/ч,2 часа,до 7 часов,USB Type—C,3,,130 мм,26 мм,149 г,6 месяцев,MICEYA,Беспроводная тату машинка MICEYA MCY-1003 Wireless Tattoo & PMU Pen Red,15990,https://tatu-shop.ru/products/mcy-1003-pen-red,https://i.siteapi.org/jIQzetYx2FHVpx6WIyVfzzVpz3k=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/er0qk4j6arwok4o84sw4wco8sww8gk,MICEYA MCY-1003,4V-12V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
319,,,,,,,,,,,,,,,,,,,Универсальная роторная тату машинка Skinductor Vertigo 2,15000,https://tatu-shop.ru/products/vertigo-2,https://i.siteapi.org/5qJA8IuKTcoBmw9918uU8F-RNZQ=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/kv9whke3k740s4ocockkk80gg448gg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
320,,Универсальная,Авиационный алюминий,DC-motor Swiss Motor - Швейцарский двигатель,,"5,5-7,5 V",,2000 mA/ч,"2-2,5 часа",от 7 до 9 часов,,,,147 мм,32 мм,239 г,6 месяцев,Hummingbird BRONC,Беспроводная роторная тату машинка BRONC Conductor RTM-111 Wireless Pen Red,10720,https://tatu-shop.ru/products/rtm-111-red,https://i.siteapi.org/jghNvENXJ1mQaxkMOQE1UhClRpo=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/30qg8rsykim8cs40sk48gko4ckwoss,BRONC Conductor RTM-111 Wireless Pen,5-11 V,3,от 0 до 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
321,Беспроводная роторная машинка,,авиационный алюминий с защитным покрытием,,,,"0,1V",,,5 -7 ч,,,,,,,6 месяцев,,Беспроводная тату машинка EZ Popu Diva PMU 6 Stroke X 2 Power Shadow,21480,https://tatu-shop.ru/products/ez-popu-diva-shadow-machine-2-power,https://i.siteapi.org/c1lhW_nLnfjgiOwQZyshDVxgXUU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/40z70xgmhxogo0wgwc44g8sw40840o,EZ Popu Diva,4 - 12V,регулируемый 2,"0 - 4,5 мм",2 ч,полимерно-литиевый,,,Да,OLED Digital Display,,,1600 mA/ч,,,,,Татуаж и мини тату,,USB TYPE-C,,,EZ Tattoo,Бесколлекторный двигатель - Brushless Motor 10800 об/мин,,,,,,,,45 - 170 Гц,,,550 гр,190 x 135 x 70 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Да,140 мм,105 мм,180 гр,159 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
322,Роторная беспроводная,Перманентный макияж и мини тату,Авиационный алюминий,Coreless Motor 12V/10000 об/мин,,,"0,1V",,1-2 часа,3-5 часов,USB Type—C,,,138 мм,18 мм,81 гр,6 месяцев,EZ TATTOO,Беспроводная машинка для татуажа EZ LOLA LIGHT PMU Black,9890,https://tatu-shop.ru/products/lola-light-pmu-black,https://i.siteapi.org/-McIxgOYOKtTtzZp9XoUltWfJP4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/63ouf34qowco8g4wooocg0g4sokc0w,EZ LOLA LIGHT,4-12V,2,"0-4,5 мм",,полимерно-литиевый,,,Да,Цветной OLED Digital Display,,,800 mA/ч,,,,,,,,,,,,,,,,,,,4,,,265 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195 x 95 x 70 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Обычный и SMP режимы,,,,,,,,,,,,,,,,,,,,,,Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
323,Беспроводная роторная машинка,Универсальная,Авиационный алюминий,,60 — 160 Гц,5 — 12 V,"0,1V",1800 mA/ч,,до 5 часов,USB Type—C,"3,5 мм","до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,32 мм,226 г,6 месяцев,,Беспроводная тату машинка EZ INKIN HOVER FM Dotwork Wireless Tattoo Pen Black,10990,https://tatu-shop.ru/products/inkin-hover-black,https://i.siteapi.org/IfouWUGvjCBPVNWWe6AIsyI9QQ0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/rg5qx80ktz4wo00cg08s4sg8kk044w,EZ INKIN HOVER FM Dotwork,,,,2 часа,,,,,,,,,,,,,,,,,,EZ Tattoo,Motor INKin Customized Swiss Motor,,,,,,,,,,,,,,,,,,,,,,,,,154 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Вт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
324,,"контур, покрас, тени",авиационный алюминий,Япония 10V-11000 об/мин,,8-12 V,,,,,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,167 гр,,Solong Tattoo,Роторная тату машинка SOLONG X100 red,4990,https://tatu-shop.ru/products/equaliser---mikron-red,https://i.siteapi.org/TyxA1X17xE-0fFG-80K7P6PHPxQ=/fit-in/1024x768/center/top/a6596905b2ff451.ru.s.siteapi.org/img/czmewg31cyogg00gg0o8scg0k884c0,SOLONG X100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 x 112 мм,Красный,,,,,,,,,,,,,,,,,,,,,RCA,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
325,Роторная беспроводная,Универсальная,Авиационный алюминий с защитным покрытием,Powerful Motor MCORE 8V / 6500 об/мин,,,"0,1V",2000 mA/ч,,до 7 часов,USB Type—C,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",141 мм,32 мм,222 гр,6 месяцев,MAST - DragonHawk,Беспроводная тату машинка DragonHawk L3 Wireless Tattoo Gun 7 Strokes X 2 Power Black,16550,https://tatu-shop.ru/products/dragonhawk-l3-2-power-pen-black,https://i.siteapi.org/Xz86VJmNUpKO_BW-gfo0FnlLohY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/4qhs3gnwhd0k08sgkgcssg84k8os4k,Dragonhawk L3,4-12 V,,,2 часа,,Есть,,,Цветной OLED,,,,,,,,,,,,,,,,,,,,,,,,,665 гр,190 x 165 x 50 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4/2,7/3,0/3,3/3,6/3,9/4,2 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Да,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
326,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,Brushless Motor 12V-12000 об/мин,,,"0,1V",,,до 5 часов,USB Type—C,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,,,Yilong Tattoo,Беспроводная тату машинка Yilong KUSH Strokes 2.4-4.2mm x 2 Power Black,8990,https://tatu-shop.ru/products/kush-black-2power,https://i.siteapi.org/07RAHRAlEwIJ4RfgNrxxCwhwt8c=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/rwwvqwwg42888kkcw0okcgw8gks84w,Yilong KUSH,4-12 V,2,,2 часа,полимерно-литиевый,4 режима памяти вольтажа,да,Да,цветной OLED,,,1800 mA/ч,,,,,,,,,,,,,,,,,,,,,230 гр,445 гр,175 x 125 x 55 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
327,Роторная беспроводная,,авиационный алюминий,,,,"0,5V",700 mA/ч,,3-7 ч,USB Type—C,"2,5 мм",,137 мм,22 мм,105 г,,,Беспроводная роторная машинка AVA SOULNOVA E3 PERMANENT MAKEUP PEN Champagne,9390,https://tatu-shop.ru/products/soulnova-e3-champagne,https://i.siteapi.org/jkIeG2KpjgGRf5yLCINKsu_Rrtc=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/aoq5s0uc2gw0w8sk0sow08w8gkg08w,SOULNOVA E3 PERMANENT MAKEUP PEN,"4,5 - 11V",,"0 - 3,5 мм",2 ч,,,,,,,,,,,,AVA TATTOO MACHINE,,,,,,,Япония,12800 об/мин ± 10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,от 60 до 190 NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
328,Роторная,Универсальная,авиационный алюминий,Brushless motor - бесщеточный двигатель,,,,1500 mA/ч,,до 3 часов,USB Type—C,4,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",113 мм,32 мм,144г,6 месяцев,DragonHawk Tattoo,Беспроводная тату машинка Dragonhawk X8 Tunable Frequency 4mm Stroke Blue,11800,https://tatu-shop.ru/products/dragonhawk-x8-tunable-blue,https://i.siteapi.org/KwojezBum4OZWru6S56mElewu9g=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/b69e1rdcau0cw8so0kscg84c4kk08s,,,,,2 часа,,,,,,,,,,,,,,,,,,,,180-9000 об,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
